#
# MAP + IP
#
# - Gives the Ip address and MAC address of each BG/P I/O node
# 
# For foreign stations this is different:
# - Gives MAC address of local switch to connect to, and
#   IP address of BG/P I/O node where the data should be
#   sent to (see stationBGPconnection sheets in the Wiki).
#
#                IMPORTANT !!!!!! BEWARE
#
# 	The items in the seperate lines of this file must be seperated by either a SINGLE whitespace or a single tab!!!!
#	Furthermore, this file is read by PVSS controllers to fill in the database, ANY change could possibly have an impact
#	on PVSS, so please double check. In case of doubt, contact the PVSS maintainer
#
# node	  IP		MAC
#-----------------------------------------------
R00-M0-N00-J00 10.170.0.1 00:14:5E:7D:33:75
R01-M1-N08-J01 10.170.1.162 00:14:5E:7D:8D:03
R01-M1-N09-J00 10.170.1.165 00:14:5E:7D:34:09
R01-M1-N09-J01 10.170.1.166 00:14:5E:7D:34:0A
R01-M1-N10-J00 10.170.1.169 00:14:5E:7D:95:DE
R01-M1-N10-J01 10.170.1.170 00:14:5E:7D:95:DF
R01-M1-N11-J00 10.170.1.173 00:14:5E:7D:97:98
R01-M1-N11-J01 10.170.1.174 00:14:5E:7D:97:99
R01-M1-N12-J00 10.170.1.177 00:14:5E:7D:33:7D
R01-M1-N12-J01 10.170.1.178 00:14:5E:7D:33:7E
R01-M1-N13-J00 10.170.1.181 00:14:5E:7D:97:12
R01-M1-N13-J01 10.170.1.182 00:14:5E:7D:97:13
R01-M1-N14-J00 10.170.1.185 00:14:5E:7D:96:82
R01-M1-N14-J01 10.170.1.186 00:14:5E:7D:96:83
R01-M1-N15-J00 10.170.1.189 00:14:5E:7D:96:84
R01-M1-N15-J01 10.170.1.190 00:14:5E:7D:96:85
R02-M0-N00-J00 10.170.2.1 00:14:5E:7D:91:00
R02-M0-N00-J01 10.170.2.2 00:14:5E:7D:91:01
R02-M0-N01-J00 10.170.2.5 00:14:5E:7D:19:23
R02-M0-N01-J01 10.170.2.6 00:14:5E:7D:19:24
R02-M0-N02-J00 10.170.2.9 00:14:5E:7D:19:15
R02-M0-N02-J01 10.170.2.10 00:14:5E:7D:19:16
R02-M0-N03-J00 10.170.2.13 00:14:5E:7D:93:4A
R02-M0-N03-J01 10.170.2.14 00:14:5E:7D:93:4B
R02-M0-N04-J00 10.170.2.17 00:14:5E:7D:8D:48
R02-M0-N04-J01 10.170.2.18 00:14:5E:7D:8D:49
R02-M0-N05-J00 10.170.2.21 00:14:5E:7D:16:F3
R02-M0-N05-J01 10.170.2.22 00:14:5E:7D:16:F4
R02-M0-N06-J00 10.170.2.25 00:14:5E:7D:92:5C
R02-M0-N06-J01 10.170.2.26 00:14:5E:7D:92:5D
R02-M0-N07-J00 10.170.2.29 00:14:5E:7D:17:81
R02-M0-N07-J01 10.170.2.30 00:14:5E:7D:17:82
R02-M0-N08-J00 10.170.2.33 00:14:5E:7D:17:A5
R02-M0-N08-J01 10.170.2.34 00:14:5E:7D:17:A6
R02-M0-N09-J00 10.170.2.37 00:14:5E:7D:17:A1
R02-M0-N09-J01 10.170.2.38 00:14:5E:7D:17:A2
R02-M0-N10-J00 10.170.2.41 00:14:5E:7D:95:5E
R02-M0-N10-J01 10.170.2.42 00:14:5E:7D:95:5F
R02-M0-N11-J00 10.170.2.45 00:14:5E:7D:17:A7
R02-M0-N11-J01 10.170.2.46 00:14:5E:7D:17:A8
R02-M0-N12-J00 10.170.2.49 00:14:5E:7D:17:39
R02-M0-N12-J01 10.170.2.50 00:14:5E:7D:17:3A
R02-M0-N13-J00 10.170.2.53 00:14:5E:7D:17:47
R02-M0-N13-J01 10.170.2.54 00:14:5E:7D:17:48
R02-M0-N14-J00 10.170.2.57 00:14:5E:7D:17:99
R02-M0-N14-J01 10.170.2.58 00:14:5E:7D:17:9A
R02-M0-N15-J00 10.170.2.61 00:14:5E:7D:1B:33
R02-M0-N15-J01 10.170.2.62 00:14:5E:7D:1B:34
R02-M1-N00-J00 10.170.2.129 00:14:5E:7D:8F:F0
R02-M1-N00-J01 10.170.2.130 00:14:5E:7D:8F:F1
R02-M1-N01-J00 10.170.2.133 00:14:5E:7D:17:73
R02-M1-N01-J01 10.170.2.134 00:14:5E:7D:17:74
R02-M1-N02-J00 10.170.2.137 00:14:5E:7D:17:3B
R02-M1-N02-J01 10.170.2.138 00:14:5E:7D:17:3C
R02-M1-N03-J00 10.170.2.141 00:14:5E:7D:1A:DF
R02-M1-N03-J01 10.170.2.142 00:14:5E:7D:1A:E0
R02-M1-N04-J00 10.170.2.145 00:14:5E:7D:17:B3
R02-M1-N04-J01 10.170.2.146 00:14:5E:7D:17:B4
R02-M1-N05-J00 10.170.2.149 00:14:5E:7D:1D:57
R02-M1-N05-J01 10.170.2.150 00:14:5E:7D:1D:58
R02-M1-N06-J00 10.170.2.153 00:14:5E:7D:04:9F
R02-M1-N06-J01 10.170.2.154 00:14:5E:7D:04:A0
R02-M1-N07-J00 10.170.2.157 00:14:5E:7D:17:D7
R02-M1-N07-J01 10.170.2.158 00:14:5E:7D:17:D8
R02-M1-N08-J00 10.170.2.161 00:14:5E:7D:1C:B5
R02-M1-N08-J01 10.170.2.162 00:14:5E:7D:1C:B6
R02-M1-N09-J00 10.170.2.165 00:14:5E:7D:1C:A3
R02-M1-N09-J01 10.170.2.166 00:14:5E:7D:1C:A4
R02-M1-N10-J00 10.170.2.169 00:14:5E:7D:17:BD
R02-M1-N10-J01 10.170.2.170 00:14:5E:7D:17:BE
R02-M1-N11-J00 10.170.2.173 00:14:5E:7D:95:CE
R02-M1-N11-J01 10.170.2.174 00:14:5E:7D:95:CF
R02-M1-N12-J00 10.170.2.177 00:14:5E:7D:17:63
R02-M1-N12-J01 10.170.2.178 00:14:5E:7D:17:64
R02-M1-N13-J00 10.170.2.181 00:14:5E:7D:9E:6C
R02-M1-N13-J01 10.170.2.182 00:14:5E:7D:9E:6D
R02-M1-N14-J00 10.170.2.185 00:14:5E:7D:23:DB
R02-M1-N14-J01 10.170.2.186 00:14:5E:7D:23:DC
R02-M1-N15-J00 10.170.2.189 00:14:5E:7D:1D:51
R02-M1-N15-J01 10.170.2.190 00:14:5E:7D:1D:52

R00-BG3-DE601 10.170.0.29 	00:12:F2:C6:BB:00 
R00-BG1-DE602 10.170.0.182	00:12:F2:C6:C1:00
R00-BG1-DE603 10.170.0.38	00:12:F2:C6:C1:00
R00-BG1-DE604 10.170.0.37	00:12:F2:C6:C1:00
R00-BG3-DE605 10.170.0.30	00:12:F2:C6:BB:00
R00-BG2-FR606 10.170.0.25	00:12:F2:C4:C6:00
R00-BG2-SE607 10.170.0.26	00:12:F2:C4:C6:00
R00-BG2-UK608 10.170.0.58	00:12:F2:C4:C6:00

R01-BG3-DE601 10.170.1.29	00:12:F2:C6:BB:00 
R01-BG1-DE602 10.170.1.182	00:12:F2:C6:C1:00
R01-BG1-DE603 10.170.1.38	00:12:F2:C6:C1:00
R01-BG1-DE604 10.170.1.37	00:12:F2:C6:C1:00
R01-BG3-DE605 10.170.1.30	00:12:F2:C6:BB:00
R01-BG2-FR606 10.170.1.25	00:12:F2:C4:C6:00
R01-BG2-SE607 10.170.1.26	00:12:F2:C4:C6:00
R01-BG2-UK608 10.170.1.58	00:12:F2:C4:C6:00

cbt001-10GB01 10.168.96.1 A0:36:9F:1F:78:A4
cbt001-10GB02 10.168.96.2 A0:36:9F:1F:78:A6
cbt001-10GB03 10.168.96.3 A0:36:9F:1F:7B:44
cbt001-10GB04 10.168.96.4 A0:36:9F:1F:7B:46
cbt002-10GB01 10.168.97.1 A0:36:9F:1F:73:40
cbt002-10GB02 10.168.97.2 A0:36:9F:1F:73:42
cbt002-10GB03 10.168.97.3 A0:36:9F:1F:79:A0
cbt002-10GB04 10.168.97.4 A0:36:9F:1F:79:A2
cbt003-10GB01 10.168.98.1 A0:36:9F:1F:78:0C
cbt003-10GB02 10.168.98.2 A0:36:9F:1F:78:0E
cbt003-10GB03 10.168.98.3 A0:36:9F:1F:7B:40
cbt003-10GB04 10.168.98.4 A0:36:9F:1F:7B:42
cbt004-10GB01 10.168.99.1 A0:36:9F:1F:79:94
cbt004-10GB02 10.168.99.2 A0:36:9F:1F:79:96
cbt004-10GB03 10.168.99.3 A0:36:9F:1F:7A:04
cbt004-10GB04 10.168.99.4 A0:36:9F:1F:7A:06
cbt005-10GB01 10.168.100.1 A0:36:9F:1F:7B:74
cbt005-10GB02 10.168.100.2 A0:36:9F:1F:7B:76
cbt005-10GB03 10.168.100.3 A0:36:9F:1F:79:E0
cbt005-10GB04 10.168.100.4 A0:36:9F:1F:79:E2
cbt006-10GB01 10.168.101.1 A0:36:9F:1F:79:A4
cbt006-10GB02 10.168.101.2 A0:36:9F:1F:79:A6
cbt006-10GB03 10.168.101.3 A0:36:9F:1F:7A:34
cbt006-10GB04 10.168.101.4 A0:36:9F:1F:7A:36
cbt007-10GB01 10.168.102.1 A0:36:9F:1F:79:04
cbt007-10GB02 10.168.102.2 A0:36:9F:1F:79:06
cbt007-10GB03 10.168.102.3 A0:36:9F:1F:7B:3C
cbt007-10GB04 10.168.102.4 A0:36:9F:1F:7B:3E
cbt008-10GB01 10.168.103.1 A0:36:9F:1F:79:00
cbt008-10GB02 10.168.103.2 A0:36:9F:1F:79:02
cbt008-10GB03 10.168.103.3 A0:36:9F:1F:7B:68
cbt008-10GB04 10.168.103.4 A0:36:9F:1F:7B:6A
cbt009-10GB01 10.168.104.1 A0:36:9F:1F:36:E4
cbt009-10GB02 10.168.104.2 A0:36:9F:1F:36:E6
cbt009-10GB03 10.168.104.3 A0:36:9F:1F:78:64
cbt009-10GB04 10.168.104.4 A0:36:9F:1F:78:66

cbt-BG3-DE601 10.168.103.4 00:12:F2:C6:BB:00 
cbt-BG1-DE602 10.168.98.4  00:12:F2:C6:C1:00
cbt-BG1-DE603 10.168.99.4  00:12:F2:C6:C1:00
cbt-BG1-DE604 10.168.98.4  00:12:F2:C6:C1:00
cbt-BG3-DE605 10.168.103.4 00:12:F2:C6:BB:00
cbt-BG2-FR606 10.168.100.4 00:12:F2:C4:C6:00
cbt-BG2-SE607 10.168.101.4 00:12:F2:C4:C6:00
cbt-BG2-UK608 10.168.100.4 00:12:F2:C4:C6:00

