# File that gives the MAC and IP address of each storage node
# This is required for the TBBDriver.
#
# Node   MAC address        IP address
#----------------------------------------
lse001 00:24:81:80:6e:9d 10.174.0.1
locus029 00:02:c9:0e:39:27 10.135.253.4
locus030 00:02:c9:0e:3a:6c 10.135.253.5
locus031 00:02:c9:0e:39:1e 10.135.253.6
locus032 00:02:c9:0e:3a:65 10.135.253.7
locus033 00:02:c9:0e:3a:64 10.135.253.8
locus034 00:02:c9:0e:39:26 10.135.253.9
locus035 00:02:c9:0e:39:27 10.135.253.10
locus036 00:02:c9:0e:3a:6c 10.135.253.11
locus037 00:02:c9:0e:39:1e 10.135.253.12
locus038 00:02:c9:0e:3a:65 10.135.253.13
locus039 00:02:c9:0e:3a:64 10.135.253.14
locus040 00:02:c9:0e:39:26 10.135.253.15
locus041 00:02:c9:0e:39:27 10.135.253.16
locus042 00:02:c9:0e:3a:6c 10.135.253.17
locus043 00:02:c9:0e:39:1e 10.135.253.18
locus044 00:02:c9:0e:3a:65 10.135.253.19
locus045 00:02:c9:0e:3a:64 10.135.253.20
locus046 00:02:c9:0e:39:26 10.135.253.21
locus047 00:02:c9:0e:39:27 10.135.253.22
locus048 00:02:c9:0e:3a:6c 10.135.253.23
locus049 00:02:c9:0e:39:1e 10.135.253.24
locus050 00:02:c9:0e:3a:65 10.135.253.25
locus051 00:02:c9:0e:3a:64 10.135.254.1
locus052 00:02:c9:0e:39:26 10.135.254.2
locus053 00:02:c9:0e:39:27 10.135.254.3
locus054 00:02:c9:0e:3a:6c 10.135.254.4
locus055 00:02:c9:0e:39:1e 10.135.254.5
locus056 00:02:c9:0e:3a:65 10.135.254.6
locus057 00:02:c9:0e:3a:64 10.135.254.7
locus058 00:02:c9:0e:39:26 10.135.254.8
locus059 00:02:c9:0e:39:27 10.135.254.9
locus060 00:02:c9:0e:3a:6c 10.135.254.10
locus061 00:02:c9:0e:39:1e 10.135.254.11
locus062 00:02:c9:0e:3a:65 10.135.254.12
locus063 00:02:c9:0e:3a:64 10.135.254.13
locus064 00:02:c9:0e:39:26 10.135.254.14
locus065 00:02:c9:0e:39:27 10.135.254.15
locus066 00:02:c9:0e:3a:6c 10.135.254.16
locus067 00:02:c9:0e:39:1e 10.135.254.17
locus068 00:02:c9:0e:3a:65 10.135.254.18
locus069 00:02:c9:0e:3a:64 10.135.254.19
locus070 00:02:c9:0e:39:26 10.135.254.20
locus071 00:02:c9:0e:39:27 10.135.254.21
locus072 00:02:c9:0e:3a:6c 10.135.254.22
locus073 00:02:c9:0e:39:1e 10.135.254.23
locus074 00:02:c9:0e:3a:65 10.135.254.24
locus075 00:02:c9:0e:3a:64 10.135.254.25
locus076 00:02:c9:0e:39:26 10.135.255.1
locus077 00:02:c9:0e:39:27 10.135.255.2
locus078 00:02:c9:0e:3a:6c 10.135.255.3
locus079 00:02:c9:0e:39:1e 10.135.255.4
locus080 00:02:c9:0e:3a:65 10.135.255.5
locus081 00:02:c9:0e:3a:64 10.135.255.6
locus082 00:02:c9:0e:39:26 10.135.255.7
locus083 00:02:c9:0e:39:27 10.135.255.8
locus084 00:02:c9:0e:3a:6c 10.135.255.9
locus085 00:02:c9:0e:39:1e 10.135.255.10
locus086 00:02:c9:0e:3a:65 10.135.255.11
locus087 00:02:c9:0e:3a:64 10.135.255.12
locus088 00:02:c9:0e:39:26 10.135.255.13
locus089 00:02:c9:0e:39:27 10.135.255.14
locus090 00:02:c9:0e:3a:6c 10.135.255.15
locus091 00:02:c9:0e:39:1e 10.135.255.16
locus092 00:02:c9:0e:3a:65 10.135.255.17
locus093 00:02:c9:0e:3a:64 10.135.255.18
locus094 00:02:c9:0e:39:26 10.135.255.19
locus095 00:02:c9:0e:39:27 10.135.255.20
locus096 00:02:c9:0e:3a:6c 10.135.255.21
locus097 00:02:c9:0e:39:1e 10.135.255.22
locus098 00:02:c9:0e:3a:65 10.135.255.23
locus099 00:02:c9:0e:3a:64 10.135.255.24
locus100 00:02:c9:0e:39:26 10.135.255.25
